1,v01,JGD2000,2016/8/5 15:30,2.01608E+13,99,[gis][pga][al][ah][sinj],jshis,M1,4530,
2,130.890626,30.3625,130.89375,30.364583,4.3,79.625443,4530473132,0,0,0
2,130.890626,30.364583,130.89375,30.366666,4.3,80.647377,4530473134,0,0,0
2,130.893749,30.3625,130.896876,30.364583,4.3,88.396891,4530473141,0,0,0
2,130.893749,30.364583,130.896876,30.366666,4.3,89.418825,4530473143,0,0,0
2,130.896876,30.364583,130.900001,30.366666,4.3,79.823621,4530473144,0,0,0
2,130.890626,30.366666,130.89375,30.36875,4.3,88.793248,4530474112,0,0,0
2,130.893749,30.366666,130.896876,30.36875,4.3,79.198044,4530474121,0,0,0
2,130.896876,30.366666,130.900001,30.36875,4.3,87.969492,4530474122,0,0,0
2,130.893749,30.36875,130.896876,30.370833,4.3,86.520159,4530474123,0,0,0
2,130.896876,30.36875,130.900001,30.370833,4.3,76.924955,4530474124,0,0,0
2,130.900001,30.366666,130.903125,30.36875,4.3,78.374288,4530474211,0,0,0
2,130.900001,30.36875,130.903125,30.370833,4.3,85.696403,4530474213,0,0,0
2,130.906251,30.370833,130.909375,30.372916,4.3,80.952046,4530474241,0,0,0
2,130.909374,30.370833,130.912501,30.372916,4.3,89.723494,4530474242,0,0,0
2,130.912501,30.372916,130.915626,30.375,4.3,83.331625,4530474333,0,0,0
2,130.915626,30.372916,130.91875,30.375,4.3,73.736422,4530474334,0,0,0
2,130.91875,30.372916,130.921876,30.375,4.3,82.50787,4530474343,0,0,0
2,130.921876,30.372916,130.925,30.375,4.3,91.279318,4530474344,0,0,0
2,130.924999,30.372916,130.928126,30.375,4.3,81.684114,4530474433,0,0,0
2,130.912501,30.375,130.915626,30.377083,4.3,75.292245,4530475311,0,0,0
2,130.915626,30.375,130.91875,30.377083,4.3,84.063693,4530475312,0,0,0
2,130.912501,30.377083,130.915626,30.379166,4.3,85.619517,4530475313,0,0,0
2,130.915626,30.377083,130.91875,30.379166,4.3,76.024313,4530475314,0,0,0
2,130.91875,30.375,130.921876,30.377083,4.3,74.468489,4530475321,0,0,0
2,130.921876,30.375,130.925,30.377083,4.3,83.239937,4530475322,0,0,0
2,130.912501,30.379166,130.915626,30.38125,4.3,77.580136,4530475331,0,0,0
2,130.912501,30.38125,130.915626,30.383333,4.3,79.959716,4530475333,0,0,0
2,130.915626,30.38125,130.91875,30.383333,4.3,88.731164,4530475334,0,0,0
2,130.924999,30.375,130.928126,30.377083,4.3,73.644733,4530475411,0,0,0
2,130.924999,30.377083,130.928126,30.379166,4.3,83.972005,4530475413,0,0,0
2,130.943751,30.379166,130.946876,30.38125,4.3,91.828009,4530475541,0,0,0
2,130.946876,30.379166,130.95,30.38125,4.3,82.232805,4530475542,0,0,0
2,130.943751,30.38125,130.946876,30.383333,4.3,75.840936,4530475543,0,0,0
2,130.934375,30.385416,130.937501,30.3875,4.3,83.895119,4530476424,0,0,0
2,130.934375,30.3875,130.937501,30.389583,4.3,87.92221,4530476442,0,0,0
2,130.931251,30.389583,130.934375,30.391666,4.3,74.406405,4530476443,0,0,0
2,130.934375,30.389583,130.937501,30.391666,4.3,83.177853,4530476444,0,0,0
2,130.940624,30.383333,130.943751,30.385416,4.3,88.639476,4530476512,0,0,0
2,130.937501,30.385416,130.940625,30.3875,4.3,74.299915,4530476513,0,0,0
2,130.940624,30.385416,130.943751,30.3875,4.3,83.071363,4530476514,0,0,0
2,130.943751,30.383333,130.946876,30.385416,4.3,79.044272,4530476521,0,0,0
2,130.937501,30.3875,130.940625,30.389583,4.3,78.327006,4530476531,0,0,0
2,130.940624,30.3875,130.943751,30.389583,4.3,87.098454,4530476532,0,0,0
2,130.937501,30.389583,130.940625,30.391666,4.3,73.582649,4530476533,0,0,0
2,130.940624,30.389583,130.943751,30.391666,4.3,82.354097,4530476534,0,0,0
2,130.931251,30.391666,130.934375,30.39375,4.3,79.257252,4530477421,0,0,0
2,130.934375,30.391666,130.937501,30.39375,4.3,88.0287,4530477422,0,0,0
2,130.931251,30.39375,130.934375,30.395833,4.3,76.160407,4530477423,0,0,0
2,130.934375,30.39375,130.937501,30.395833,4.3,84.931855,4530477424,0,0,0
2,130.931251,30.395833,130.934375,30.397916,4.3,82.658766,4530477441,0,0,0
2,130.934375,30.395833,130.937501,30.397916,4.3,91.430214,4530477442,0,0,0
2,130.937501,30.391666,130.940625,30.39375,4.3,78.433496,4530477511,0,0,0
2,130.940624,30.391666,130.943751,30.39375,4.3,87.204944,4530477512,0,0,0
2,130.937501,30.39375,130.940625,30.395833,4.3,75.336651,4530477513,0,0,0
2,130.937501,30.395833,130.940625,30.397916,4.3,81.83501,4530477531,0,0,0
2,130.937501,30.397916,130.940625,30.4,4.3,91.628393,4530477533,0,0,0
2,130.937501,30.4,130.940625,30.402083,4.3,83.878879,4530478511,0,0,0
2,130.940624,30.4,130.943751,30.402083,4.3,74.283675,4530478512,0,0,0
2,130.859376,30.422916,130.8625,30.425,4.3,80.475927,4530560844,0,0,0
2,130.865626,30.416666,130.868751,30.41875,4.3,74.893013,4530560912,0,0,0
2,130.865626,30.41875,130.868751,30.420833,4.3,86.623773,4530560914,0,0,0
2,130.868751,30.416666,130.871875,30.41875,4.3,83.664461,4530560921,0,0,0
2,130.862499,30.420833,130.865626,30.422916,4.3,88.75933,4530560931,0,0,0
2,130.865626,30.420833,130.868751,30.422916,4.3,79.164126,4530560932,0,0,0
2,130.862499,30.422916,130.865626,30.425,4.3,89.247375,4530560933,0,0,0
2,130.865626,30.422916,130.868751,30.425,4.3,79.652171,4530560934,0,0,0
2,130.859376,30.425,130.8625,30.427083,4.3,89.73542,4530561822,0,0,0
2,130.859376,30.427083,130.8625,30.429166,4.3,90.223466,4530561824,0,0,0
2,130.859376,30.429166,130.8625,30.43125,4.3,80.292551,4530561842,0,0,0
2,130.859376,30.43125,130.8625,30.433333,4.3,79.95684,4530561844,0,0,0
2,130.862499,30.425,130.865626,30.427083,4.3,80.140217,4530561911,0,0,0
2,130.865626,30.425,130.868751,30.427083,4.3,88.911665,4530561912,0,0,0
2,130.862499,30.427083,130.865626,30.429166,4.3,80.628262,4530561913,0,0,0
2,130.865626,30.427083,130.868751,30.429166,4.3,89.39971,4530561914,0,0,0
2,130.862499,30.429166,130.865626,30.43125,4.3,89.063999,4530561931,0,0,0
2,130.865626,30.429166,130.868751,30.43125,4.3,79.468795,4530561932,0,0,0
2,130.862499,30.43125,130.865626,30.433333,4.3,88.728288,4530561933,0,0,0
2,130.865626,30.43125,130.868751,30.433333,4.3,79.133084,4530561934,0,0,0
2,130.85625,30.433333,130.859376,30.435416,4.3,88.392577,4530562821,0,0,0
2,130.859376,30.433333,130.8625,30.435416,4.3,78.797374,4530562822,0,0,0
